Taxid	Organism	Species Name	Version
9606	human	Homo sapiens	v6.3
9544	rhesus	Macaca mulatta	v6.3
10090	mouse	Mus musculus	v6.3
10116	rat	Rattus norvegicus	v6.3
9823	pig	Sus scrofa	v6.3
9615	dog	Canis lupus familiaris	v6.3
9031	chicken	Gallus gallus	v6.3
59729	zebrafinch	Taeniopygia guttata	v6.3
8364	frog	Xenopus tropicalis	v6.3
8355	laevis	Xenopus laevis	v6.3
7955	zebrafish	Danio rerio	v6.3
31033	fugu	Takifugu rubripes	v6.3
7757	lamprey	Petromyzon marinus	v6.3
7719	ciona	Ciona intestinalis	v6.3
7668	urchin	Strongylocentrotus purpuratus	v6.3
7227	fly	Drosophila melanogaster	v6.3
180454	mosquito	Anopheles gambiae	v6.3
7460	bee	Apis mellifera	v6.3
6239	worm	Caenorhabditis elegans	v6.3
45351	anemone	Nematostella vectensis	v6.3
6087	hydra	Hydra vulgaris	v6.3
6500	seahare	Aplysia californica	v6.3
559292	yeast	Saccharomyces cerevisiae	v6.3
4896	pombe	Schizosaccharomyces pombe	v6.3
367110	ncrassa	Neurospora crassa	v6.3
597362	mushroom	Agaricus bisporus	v6.3
3702	arabidopsis	Arabidopsis thaliana	v6.3
3218	patens	Physcomitrella patens	v6.3
39947	rice	Oryza sativa	v6.3
4577	corn	Zea mays	v6.3
4081	tomato	Solanum lycopersicum	v6.3
3055	chlamy	Chlamydomonas reinhardtii	v6.3
3068	volvox	Volvox carteri	v6.3
352472	dicty	Dictyostelium discoideum	v6.3
556484	diatom	Phaeodactylum tricornutum	v6.3
312017	ciliate	Tetrahymena thermophila	v6.3
88036	selaginella	Selaginella moellendorffii	v6.3
296543	pseudonana	Thalassiosira pseudonana	v6.3
246410	cocci	Coccidioides immitis RS	v6.3
